Fecha,Directorio,Tamano
2025-01-01,20250101.001,12G
2025-01-02,20250101.002,35G
2025-01-02,20250102.001,27G
2025-01-02,20250102.002,1.4G
2025-01-02,20250102.003,359M
2025-01-02,20250102.004,31G
2025-01-03,20250102.005,35G
2025-01-03,20250103.001,6.0G
2025-01-03,20250103.002,4.7G
2025-01-04,20250103.003,35G
2025-01-04,20250104.001,27G
2025-01-04,20250104.002,1.4G
2025-01-04,20250104.003,352M
2025-01-04,20250104.004,31G
2025-01-05,20250104.005,35G
2025-01-05,20250105.001,27G
2025-01-05,20250105.002,1.3G
2025-01-05,20250105.003,359M
2025-01-05,20250105.004,31G
2025-01-06,20250105.005,27G
2025-01-06,20250106.001,3.8M
2025-01-06,20250106.002,7.7G
2025-01-06,20250106.003,4.1G
2025-01-07,20250106.004,35G
2025-01-07,20250107.001,27G
2025-01-07,20250107.002,1.4G
2025-01-07,20250107.003,330M
2025-01-07,20250107.004,14G
2025-01-07,20250107.005,8.9G
2025-01-08,20250107.006,35G
2025-01-08,20250108.001,16G
2025-01-08,20250108.002,4.9G
2025-01-09,20250108.003,35G
2025-01-09,20250109.001,6.0G
2025-01-09,20250109.002,12G
2025-01-10,20250109.003,35G
2025-01-10,20250110.001,25G
2025-01-10,20250110.002,1.3G
2025-01-10,20250110.003,366M
2025-01-10,20250110.004,27G
2025-01-10,20250110.005,2.1G
2025-01-10,20250110.006,59M
2025-01-11,20250110.007,27G
2025-01-11,20250111.001,27G
2025-01-11,20250111.002,1.4G
2025-01-11,20250111.003,352M
2025-01-11,20250111.004,31G
2025-01-12,20250111.005,35G
2025-01-12,20250112.001,27G
2025-01-12,20250112.002,1.3G
2025-01-12,20250112.003,352M
2025-01-12,20250112.004,31G
2025-01-13,20250112.005,35G
2025-01-13,20250113.001,12G
2025-01-13,20250113.002,7.8G
2025-01-14,20250113.003,35G
2025-01-14,20250114.001,6.3G
2025-01-14,20250114.002,2.6G
2025-01-14,20250114.003,828M
2025-01-14,20250114.004,7.2G
2025-01-15,20250114.005,35G
2025-01-15,20250115.001,27G
2025-01-15,20250115.002,1.4G
2025-01-15,20250115.003,337M
2025-01-15,20250115.004,31G
2025-01-16,20250115.005,35G
2025-01-16,20250116.001,13G
2025-01-16,20250116.002,5.1G
2025-01-16,20250116.003,4.8M
2025-01-17,20250116.004,25G
2025-01-17,20250117.001,11G
2025-01-17,20250117.002,7.8G
2025-01-18,20250117.003,35G
2025-01-18,20250118.001,27G
2025-01-18,20250118.002,1.4G
2025-01-18,20250118.003,330M
2025-01-18,20250118.004,31G
2025-01-19,20250118.005,35G
2025-01-19,20250119.001,27G
2025-01-19,20250119.002,97M
2025-01-19,20250119.003,366M
2025-01-19,20250119.004,31G
2025-01-20,20250119.005,35G
2025-01-20,20250120.001,12G
2025-01-20,20250120.002,693M
2025-01-20,20250120.003,242M
2025-01-20,20250120.004,1.4G
2025-01-20,20250120.005,511M
2025-01-20,20250120.006,6.3G
2025-01-21,20250120.007,35G
2025-01-21,20250121.001,27G
2025-01-21,20250121.002,1.4G
2025-01-21,20250121.003,366M
2025-01-21,20250121.004,31G
2025-01-22,20250121.005,35G
2025-01-22,20250122.001,27G
2025-01-22,20250122.002,1.3G
2025-01-22,20250122.003,366M
2025-01-22,20250122.004,14G
2025-01-23,20250122.005,35G
2025-01-23,20250123.001,27G
2025-01-23,20250123.002,1.4G
2025-01-23,20250123.003,330M
2025-01-23,20250123.004,31G
2025-01-24,20250123.005,35G
