Dia,Tamano_GB,Horas
20250101,47.0,11.961823966065747
20250102,94.359,24.0
20250103,45.0,11.452810180275716
20250104,94.352,24.0
20250105,86.35900000000001,21.97896076352068
20250106,49.0,12.47083775185578
20250107,85.33,21.71707317073171
20250108,55.0,13.997879109225876
20250109,53.0,13.488865323435844
20250110,82.425,20.977730646871684
20250111,94.352,24.0
20250112,94.352,24.0
20250113,54.0,13.74337221633086
20250114,50.828,12.93607635206787
20250115,94.337,24.0
20250116,47.0,11.961823966065747
20250117,53.0,13.488865323435844
20250118,94.33,24.0
20250119,93.463,23.786977730646875
20250120,55.446,14.111389183457051
20250121,94.366,24.0
20250122,77.366,19.690180275715804
20250123,94.33,24.0
20250124,93.337,23.754909862142103
20250125,63.404,16.136755037115588
20250126,94.352,24.0
20250127,92.315,23.494803817603398
20250128,69.828,17.771707317073172
20250129,94.337,24.0
20250130,92.345,23.50243902439024
20250131,58.411,14.866002120890776
